Accession	Kingdom			
NZ_CP025050.1_2310	Bacteria 			
NZ_CP025055.1_2704	Bacteria 			
NZ_CP025056.1_2704	Bacteria 			
NZ_CP025229.1_2512	Bacteria 			
NZ_CP026122.1_1832	Bacteria 			
NZ_CP026544.1_4897	Bacteria 			
NZ_CP028162.1_2373	Bacteria 			
NZ_CP028917.1_4077	Bacteria 			
NZ_CP029088.1_2841	Bacteria 			
NZ_CP029097.1_4119	Bacteria 			
NZ_CP029605.1_2681	Bacteria 			
NZ_CP030327.1_5586	Bacteria 			
NZ_CP030328.1_3819	Bacteria 			
NZ_CP030861.1_35	Bacteria 			
NZ_CP030912.1_2774	Bacteria 			
NZ_CP033730.1_1172	Bacteria 			
NZ_CP033771.1_327	Bacteria 			
NZ_CP033832.1_4100	Bacteria 			
NZ_CP033833.1_5793	Bacteria 			
NZ_CP039293.1_2658	Bacteria 			
NZ_LR130528.1_4254	Bacteria 			
NZ_LR134300.1_1156	Bacteria 			
NZ_LR134302.1_3399	Bacteria 			
NZ_LR134309.1_2607	Bacteria 			
NZ_LR590474.1_2673	Bacteria 			
NZ_LS483395.1_1109	Bacteria 			
NZ_LS998783.1_2910	Bacteria 			
NZ_LT629801.1_2956	Bacteria 			
NZ_LT883143.1_2296	Bacteria 			
WP_046720530.1	Bacteria			
NZ_CP011369.1_2816	Bacteria 			
WP_132884923.1	Bacteria			
WP_122048403.1	Bacteria			
NZ_CP033104.1_4248	Bacteria 			
WP_033895614.1	Bacteria			
MBH9389096.1	Bacteria			
MBH9326398.1	Bacteria			
WP_023087304.1	Bacteria			
NZ_CP008870.2_3246	Bacteria 			
NZ_CP033684.1_2848	Bacteria 			
MBG6534890.1	Bacteria			
WP_058139025.1	Bacteria			
MBG6595974.1	Bacteria			
WP_043156220.1	Bacteria			
MBJ9974106.1	Bacteria			
WP_100773617.1	Bacteria			
NZ_LR130533.1_5484	Bacteria 			
NZ_LR130534.1_2322	Bacteria 			
WP_070490265.1	Bacteria 			
WP_021205712.1	Bacteria 			
WP_155664440.1	Bacteria			
WP_065502002.1	Bacteria			
VUQ25903.1	Bacteria			
WP_026070607.1	Bacteria 			
NZ_CP027562.1_2142	Bacteria 			
MBD3774628.1	Bacteria 			
WP_068024502.1	Bacteria 			
NZ_CP007440.1_5509	Bacteria 			
WP_027533731.1	Bacteria			
WP_010141868.1	Bacteria			
WP_074839947.1	Bacteria 			
WP_064225022.1	Bacteria 			
WP_099249422.1	Bacteria 			
WP_037275570.1	Bacteria			
WP_093993975.1	Bacteria			
WP_094087287.1	Bacteria			
NZ_CP022564.1_3623	Bacteria 			
WP_020048021.1	Bacteria			
WP_076845471.1	Bacteria			
WP_183934938.1	Bacteria			
WP_003508391.1	Bacteria			
WP_110737489.1	Bacteria			
WP_183997215.1	Bacteria			
WP_121557654.1	Bacteria			
NZ_CP032923.1_43	Bacteria 			
WP_131591324.1	Bacteria			
WP_131705022.1	Bacteria			
WP_131549119.1	Bacteria			
WP_035095385.1	Bacteria			
WP_172234453.1	Bacteria			
WP_023820823.1	Bacteria			
WP_179574298.1	Bacteria			
WP_075935152.1	Bacteria			
WP_111461857.1	Bacteria			
WP_048638343.1	Bacteria			
EFJ98159.1_ref	Bacteria			
EFJ98159.1	Bacteria			
NZ_CP027677.1_3563	Bacteria 			
NZ_CP027678.1_24	Bacteria 			
6P7P_A	Bacteria			
WP_161138321.1	Bacteria			
WP_065684574.1	Bacteria			
WP_080865893.1	Bacteria			
WP_117109623.1	Bacteria			
WP_125297157.1	Bacteria			
WP_053287146.1	Bacteria			
NZ_CP010376.2_3715	Bacteria 			
NZ_CP012162.1_3805	Bacteria 			
NZ_CP020388.1_44	Bacteria 			
NZ_CP021749.1_1884	Bacteria 			
NZ_CP021851.1_465	Bacteria 			
NZ_CP024676.1_2894	Bacteria 			
NZ_CP031574.1_1543	Bacteria 			
WP_072252788.1	Bacteria			
WP_087760536.1	Bacteria			
WP_058799372.1	Bacteria			
NZ_CP024677.1_3359	Bacteria 			
NZ_LT556084.1_4455	Bacteria 			
NZ_LT556085.1_2042	Bacteria 			
WP_129753977.1	Bacteria			
EAT3274191.1	Bacteria			
EBT1697807.1	Bacteria			
HAV1567481.1	Bacteria			
WP_072039935.1	Bacteria			
WP_117110152.1	Bacteria			
WP_192970566.1	Bacteria			
WP_075201405.1	Bacteria			
WP_088126339.1	Bacteria			
MBH2749599.1	Bacteria			
WP_126521968.1	Bacteria			
WP_105575604.1	Bacteria			
WP_036770685.1	Bacteria			
EFH6037776.1	Bacteria			
WP_094962242.1	Bacteria			
WP_103367126.1	Bacteria			
WP_110818094.1	Bacteria			
WP_058427461.1	Bacteria			
WP_054989155.1	Bacteria			
WP_122262520.1	Bacteria			
WP_198831793.1	Bacteria			
WP_179609347.1	Bacteria			
WP_160347869.1	Bacteria			
WP_102823321.1	Bacteria			
WP_184488661.1	Bacteria			
WP_188861359.1	Bacteria			
WP_184447810.1	Bacteria			
WP_053505562.1	Bacteria			
WP_180883291.1	Bacteria			
WP_160984857.1	Bacteria			
WP_029934543.1	Bacteria			
WP_108019640.1	Bacteria			
AKH70559.1	Bacteria			
NZ_CP011477.1_2859	Bacteria 			
PHR31563.1	Bacteria 			
WP_121164080.1	Bacteria 			
WP_028881082.1	Bacteria			
WP_018013802.1	Bacteria			
MAZ87931.1	Bacteria 			
KAB8145981.1	Bacteria 			
WP_054534569.1	Bacteria			
WP_163268306.1	Bacteria			
WP_137391929.1	Bacteria			
MBI1393900.1	Bacteria			
HBR51527.1	Bacteria			
WP_089937202.1	Bacteria			
ETX06256.1	Bacteria			
NNE40165.1	Bacteria			
MYD36212.1	Bacteria			
RYG99173.1	Bacteria			
WP_171563010.1	Bacteria			
WP_031552623.1	Bacteria			
WP_014705157.1	Bacteria			
NC_017856.1_2483	Bacteria 			
WP_084353930.1	Bacteria			
WP_193176356.1	Bacteria			
NOX93596.1	Bacteria			
WP_180899605.1	Bacteria			
WP_106572897.1	Bacteria			
WP_114280403.1	Bacteria			
VFJ74888.1	Bacteria			
HHJ19002.1	Bacteria			
WP_085213313.1	Bacteria			
WP_097523110.1	Bacteria			
WP_111545628.1	Bacteria			
WP_140659809.1	Bacteria			
WP_140905777.1	Bacteria			
WP_036274931.1	Bacteria			
NZ_CP014476.1_1733	Bacteria 			
KAA6459586.1	Bacteria			
THD49852.1	Bacteria			
WP_171549350.1	Bacteria			
WP_020753579.1	Bacteria			
NC_021734.1_17	Bacteria 			
NZ_CP028560.1_161	Bacteria 			
NZ_CP032133.1_54	Bacteria 			
WP_151814670.1	Bacteria			
WP_169161949.1	Bacteria			
WP_025586683.1	Bacteria			
NZ_OFSX01000010.1_55	Bacteria 			
WP_066918475.1	Bacteria			
NZ_CP011971.1_543	Bacteria 			
WP_057063717.1	Bacteria			
WP_024540132.1	Bacteria			
WP_175804315.1	Bacteria			
WP_012367385.1	Bacteria			
NC_010553.1_257	Bacteria 			
WP_045579177.1	Bacteria			
NZ_CP009631.1_2454	Bacteria 			
NZ_CP020394.1_2835	Bacteria 			
WP_056321645.1	Bacteria			
TAG75758.1	Bacteria			
WP_194391271.1	Bacteria			
WP_122401238.1	Bacteria			
NZ_LS398110.1_1379	Bacteria 			
WP_164571138.1	Bacteria			
SEE46282.1	Bacteria			
WP_138328097.1	Bacteria			
WP_013569417.1	Bacteria			
NC_014963.1_2926	Bacteria 			
WP_046194712.1	Bacteria			
WP_017500488.1	Bacteria			
NZ_CP020925.1_2452	Bacteria 			
WP_132883904.1	Bacteria			
NZ_AP018498.1_395	Bacteria 			
WP_141855040.1	Bacteria			
MBA4173679.1	Bacteria			
WP_147221866.1	Bacteria			
WP_130030035.1	Bacteria			
WP_039289906.1	Bacteria			
WP_091303795.1	Bacteria			
WP_149140697.1	Bacteria			
WP_189383010.1	Bacteria			
MBJ7403414.1	Bacteria			
WP_091880658.1	Bacteria			
WP_024342650.1	Bacteria			
WP_023795328.1	Bacteria			
OJX19609.1	Bacteria			
RYE07397.1	Bacteria			
TIM26514.1	Bacteria			
WP_090198348.1	Bacteria			
NZ_CP034464.1_3935	Bacteria 			
MBJ7407643.1	Bacteria			
WP_013214703.1	Bacteria			
NC_014313.1_671	Bacteria 			
TAN48999.1	Bacteria			
WP_025429978.1	Bacteria			
NZ_CP007238.1_8	Bacteria 			
WP_063473622.1	Bacteria			
NZ_CP030762.1_253	Bacteria 			
WP_057220930.1	Bacteria			
WP_060641997.1	Bacteria			
WP_093002118.1	Bacteria			
WP_088202460.1	Bacteria			
NZ_CP021830.1_1229	Bacteria 			
WP_136508923.1	Bacteria			
WP_081159716.1	Bacteria			
WP_037451387.1	Bacteria			
NZ_CP029232.1_1749	Bacteria 			
WP_057214036.1	Bacteria			
WP_021585828.1	Bacteria			
WP_121692443.1	Bacteria			
NZ_CP033037.1_114	Bacteria 			
AZO59673.1	Bacteria			
WP_064990655.1	Bacteria			
WP_158168996.1	Bacteria			
WP_175213372.1	Bacteria			
EKS72500.1	Bacteria			
WP_018309834.1	Bacteria			
WP_160109059.1	Bacteria			
WP_059978167.1	Bacteria			
WP_015860162.1	Bacteria			
NC_012796.1_1476	Bacteria 			
WP_044585648.1	Bacteria			
WP_068028174.1	Bacteria			
NZ_CP007440.1_7028	Bacteria 			
WP_165255712.1	Bacteria			
WP_067733011.1	Bacteria			
WP_087652341.1	Bacteria			
NZ_CP021512.1_254	Bacteria 			
WP_066110810.1	Bacteria			
WP_171793570.1	Bacteria			
WP_071204881.1	Bacteria			
WP_102761945.1	Bacteria			
WP_065662025.1	Bacteria			
WP_182590885.1	Bacteria			
WP_064832767.1	Bacteria			
NZ_CP013572.1_13	Bacteria 			
NZ_CP013578.1_13	Bacteria 			
WP_033184387.1	Bacteria			
WP_154722150.1	Bacteria			
WP_168452285.1	Bacteria			
WP_167919441.1	Bacteria			
WP_137680558.1	Bacteria			
WP_138400860.1	Bacteria			
OYZ77835.1	Bacteria			
NZ_CP021054.1_2559	Bacteria 			
WP_089174987.1	Bacteria			
NZ_CP022372.1_2299	Bacteria 			
WP_113586875.1	Bacteria			
SDH65907.1	Bacteria			
WP_116530112.1	Bacteria			
WP_152713603.1	Bacteria			
WP_190843772.1	Bacteria			
WP_114947284.1	Bacteria			
WP_027316147.1	Bacteria			
WP_109858633.1	Bacteria			
NZ_CP016616.1_451	Bacteria 			
WP_084413134.1	Bacteria			
GEO97840.1	Bacteria			
WP_147076126.1	Bacteria			
WP_176375636.1	Bacteria			
NZ_CP034464.1_3925	Bacteria 			
PZO22609.1	Bacteria			
MPZ29543.1	Bacteria			
NWG53219.1	Bacteria			
WP_054532754.1	Bacteria			
NC_019940.1_308	Bacteria 			
WP_116218477.1	Bacteria			
MBD77336.1	Bacteria			
EDO26170.1	Bacteria			
WP_090473014.1	Bacteria			
WP_126652207.1	Bacteria			
NZ_CP034661.1_2038	Bacteria 			
WP_185226253.1	Bacteria			
WP_185273775.1	Bacteria			
AWZ01972.1	Bacteria			
NZ_CP030277.1_2420	Bacteria 			
WP_022951181.1	Bacteria			
WP_077409906.1	Bacteria			
WP_009807867.1	Bacteria			
MYF76904.1	Bacteria			
PHR75222.1	Bacteria			
WP_085163840.1	Bacteria			
2632356247	Bacteria 			
WP_044616068.1	Bacteria			
NZ_CP007142.1_1032	Bacteria 			
2792187373_ref	Bacteria			
2792187373	Bacteria			
647193063_ref	Bacteria			
647193063	Bacteria			
WP_076024803.1	Bacteria			
2507444198_ref	Bacteria			
2507444198	Bacteria			
WP_193158036.1	Bacteria			
EGR2507730.1	Bacteria			
WP_085602491.1	Bacteria			
WP_148499653.1	Bacteria			
EGQ9890518.1	Bacteria			
WP_071170739.1	Bacteria			
WP_111606466.1	Bacteria			
WP_161438479.1	Bacteria			
WP_077298232.1	Bacteria			
NZ_CP019509.1_1490	Bacteria 			
WP_145754386.1	Bacteria			
WP_078997919.1	Bacteria			
MBK0011678.1	Bacteria			
MBH1634021.1	Bacteria			
WP_046984188.1	Bacteria			
WP_180164556.1	Bacteria			
WP_115579840.1	Bacteria			
NZ_CP036252.1_2073	Bacteria 			
WP_065628717.1	Bacteria			
WP_039587461.1	Bacteria			
OYU37529.1	Bacteria			
WP_064697328.1	Bacteria			
TBC94724.1	Bacteria			
WP_168291414.1	Bacteria			
WP_132526865.1	Bacteria			
WP_101754818.1	Bacteria			
NZ_CP025432.1_210	Bacteria 			
WP_145762146.1	Bacteria			
WP_081268939.1	Bacteria			
WP_096225140.1	Bacteria			
WP_135195579.1	Bacteria			
WP_130160209.1	Bacteria			
WP_037484142.1	Bacteria			
WP_116086422.1	Bacteria			
WP_020818215.1	Bacteria			
MBA4797385.1	Bacteria			
MBB5712367.1	Bacteria			
WP_188660914.1	Bacteria			
WP_041043285.1	Bacteria			
WP_066608956.1	Bacteria			
WP_150411994.1	Bacteria			
WP_146388053.1	Bacteria			
MBA4133075.1	Bacteria			
WP_189387298.1	Bacteria			
QDV90933.1	Bacteria			
PIQ24505.1	Bacteria			
WP_115683850.1	Bacteria			
NZ_LT976979.1_125	Bacteria 			
NZ_LT976980.1_125	Bacteria 			
NZ_LT976981.1_123	Bacteria 			
NZ_LT976994.1_155	Bacteria 			
NZ_LT977072.1_118	Bacteria 			
NZ_OFTM01000053.1_3	Bacteria 			
MBF3882731.1	Bacteria			
WP_183800632.1	Bacteria			
WP_175145449.1	Bacteria			
WP_102503002.1	Bacteria			
EGR4004794.1	Bacteria			
WP_140063057.1	Bacteria			
WP_148553794.1	Bacteria			
WP_115016765.1	Bacteria			
WP_186507227.1	Bacteria			
WP_063457668.1	Bacteria			
NZ_CP015346.1_982	Bacteria 			
MAF58692.1	Bacteria			
WP_041330525.1	Bacteria			
NZ_CP006949.1_239	Bacteria 			
MAY36593.1	Bacteria			
NC_013592.1_3235	Bacteria 			
WP_015841417.1	Bacteria			
NC_012917.1_3263	Bacteria 			
WP_021014788.1	Bacteria			
NZ_CP025084.1_3905	Bacteria 			
NZ_CP025085.1_3906	Bacteria 			
WP_038903548.1	Bacteria			
NZ_CM001980.1_879	Bacteria 			
WP_193407980.1	Bacteria			
WP_048387300.1	Bacteria			
NZ_CP011494.1_2941	Bacteria 			
EGR4976441.1	Bacteria			
WP_109848362.1	Bacteria			
EGR0761674.1	Bacteria			
MBD1569846.1	Bacteria			
WP_194688030.1	Bacteria			
WP_140311641.1	Bacteria			
WP_025627806.1	Bacteria			
MBE4476349.1	Bacteria			
WP_024336406.1	Bacteria			
WP_010583109.1	Bacteria			
MAT73457.1	Bacteria			
OQA85957.1	Bacteria			
WP_163057856.1	Bacteria			
MBU52792.1	Bacteria			
PWU09498.1	Bacteria			
MBI3886900.1	Bacteria			
TRZ49248.1	Bacteria			
MBK1815740.1	Bacteria			
TDU69446.1	Bacteria			
MBF0368609.1	Bacteria			
WP_040897781.1	Bacteria			
ELS02931.1	Bacteria			
WP_155326264.1	Bacteria			
NTV06712.1	Bacteria			
WP_172587663.1	Bacteria			
OYY21385.1	Bacteria			
NWJ40471.1	Bacteria			
WP_107799270.1	Bacteria			
WP_144307966.1	Bacteria			
HBH72950.1	Bacteria			
HAF00665.1	Bacteria			
WP_096783435.1	Bacteria			
TNC82801.1	Bacteria			
WP_013659859.1	Bacteria			
NC_015276.1_664	Bacteria 			
WP_151723430.1	Bacteria			
WP_110188692.1	Bacteria			
WP_190532934.1	Bacteria			
OGP49126.1	Bacteria			
MBI42370.1	Bacteria			
HFD32385.1	Bacteria			
WP_124605499.1	Bacteria			
SDR44551.1	Bacteria			
WP_131184733.1	Bacteria			
WP_155873291.1	Bacteria			
WP_058142645.1	Bacteria			
WP_198340834.1	Bacteria			
WP_103387598.1	Bacteria			
WP_081235227.1	Bacteria			
WP_168758916.1	Bacteria			
AXA56675.1	Bacteria			
WP_078469341.1	Bacteria			
WP_058170113.1	Bacteria			
NZ_LR134300.1_3609	Bacteria 			
WP_059400005.1	Bacteria			
AZP70722.1	Bacteria			
WP_108237914.1	Bacteria			
WP_191488561.1	Bacteria			
WP_122439601.1	Bacteria			
WP_018229295.1	Bacteria			
WP_129134627.1	Bacteria			
NZ_CP035376.1_35	Bacteria 			
WP_052575195.1	Bacteria			
WP_163850521.1	Bacteria			
WP_140885097.1	Bacteria			
WP_159273333.1	Bacteria			
WP_162309888.1	Bacteria			
WP_192106434.1	Bacteria			
WP_011486012.1	Bacteria			
NC_007949.1_276	Bacteria 			
WP_169126020.1	Bacteria			
WP_018988632.1	Bacteria			
WP_150618621.1	Bacteria			
WP_071615533.1	Bacteria			
NZ_CP022755.1_2752	Bacteria 			
WP_118909630.1	Bacteria			
NZ_CP022786.1_1048	Bacteria 			
MBI4310973.1	Bacteria			
WP_123574903.1	Bacteria			
WP_144827708.1	Bacteria			
WP_073969933.1	Bacteria			
NZ_LR134406.1_1744	Bacteria 			
WP_052682315.1	Bacteria			
WP_110107914.1	Bacteria			
WP_144690991.1	Bacteria			
WP_158051265.1	Bacteria			
WP_166778695.1	Bacteria			
WP_123294490.1	Bacteria			
WP_194660286.1	Bacteria			
WP_127435240.1	Bacteria			
WP_179429065.1	Bacteria			
WP_104126704.1	Bacteria			
WP_179502400.1	Bacteria			
WP_139623557.1	Bacteria			
WP_141805374.1	Bacteria			
WP_056755513.1	Bacteria			
WP_163765046.1	Bacteria			
WP_163799085.1	Bacteria			
WP_094656857.1	Bacteria			
WP_157662989.1	Bacteria			
MBS42855.1	Bacteria			
WP_132165409.1	Bacteria			
WP_164910396.1	Bacteria			
WP_084125985.1	Bacteria			
WP_123813513.1	Bacteria			
WP_162239378.1	Bacteria			
WP_127012855.1	Bacteria			
NZ_CP031422.1_3623	Bacteria 			
WP_091480116.1	Bacteria			
WP_143015727.1	Bacteria			
WP_076709335.1	Bacteria			
NZ_CP031421.1_2808	Bacteria 			
WP_005054591.1	Bacteria			
NZ_CP025299.1_121	Bacteria 			
WP_191173022.1	Bacteria			
MAL27734.1	Bacteria			
MAY50569.1	Bacteria			
WP_068200280.1	Bacteria			
NZ_CP014209.1_103	Bacteria 			
WP_056343452.1	Bacteria			
WP_197025023.1	Bacteria			
WP_137159429.1	Bacteria			
WP_185714064.1	Bacteria			
WP_192379006.1	Bacteria			
NZ_CP031166.1_89	Bacteria 			
WP_131984287.1	Bacteria			
WP_164592917.1	Bacteria			
NZ_CP031263.1_5938	Bacteria 			
WP_143025364.1	Bacteria			
NZ_CP031263.1_5936	Bacteria 			
WP_167185336.1	Bacteria			
WP_145796011.1	Bacteria			
NC_015671.1_2145	Bacteria 			
WP_159929467.1	Bacteria			
WP_116104466.1	Bacteria			
WP_138746413.1	Bacteria			
WP_117429583.1	Bacteria			
WP_099289419.1	Bacteria			
WP_152515939.1	Bacteria			
AQA06654.1	Bacteria			
WP_083739558.1	Bacteria			
NZ_CP019420.1_4743	Bacteria 			
WP_133759739.1	Bacteria			
TDR68883.1	Bacteria			
WP_079630835.1	Bacteria			
WP_133058134.1	Bacteria			
WP_155920382.1	Bacteria			
MBI5341584.1	Bacteria			
GHO65593.1	Bacteria			
MBI2422373.1	Bacteria			
QDV85398.1	Bacteria			
WP_148074277.1	Bacteria			
NC_016641.1_3746	Bacteria 			
NZ_CP018100.1_791	Bacteria 			
NZ_CP016784.1_2346	Bacteria 			
NZ_CP010405.1_853	Bacteria 			
NZ_CP033048.1_3571	Bacteria 			
NZ_LN831776.1_1413	Bacteria 			
NZ_CP013653.1_1553	Bacteria 			
NZ_CP036170.1_1481	Bacteria 			
NZ_CP019985.1_1913	Bacteria 			
NZ_CP040441.1_348	Bacteria 			
NZ_LM995447.1_1163	Bacteria 			
NC_015172.1_1276	Bacteria 			
NZ_CP019655.1_468	Bacteria 			
NZ_CP019659.1_468	Bacteria 			
NZ_CP019794.1_3214	Bacteria 			
NZ_CP020327.1_2695	Bacteria 			
NZ_CP019651.1_4106	Bacteria 			
NZ_CP019687.1_4006	Bacteria 			
NC_023134.1_417	Bacteria 			
NZ_CP019652.1_419	Bacteria 			
NZ_CP019306.1_333	Bacteria 			
NZ_CP012410.1_553	Bacteria 			
NZ_CP009761.1_994	Bacteria 			
NZ_LR134472.1_1319	Bacteria 			
NZ_CP037427.1_3229	Bacteria 			
NC_015589.1_3643	Bacteria 			
NZ_CP033048.1_3570	Bacteria 			
NZ_CP012475.1_2520	Bacteria 			
NZ_CP011273.1_1357	Bacteria 			
NZ_CP029553.1_4391	Bacteria 			
NZ_LR590470.1_3594	Bacteria 			
NZ_CP024842.1_3598	Bacteria 			
NZ_CP018297.1_2114	Bacteria 			
NZ_AP014636.1_900	Bacteria 			
NZ_CP029187.1_2678	Bacteria 			
NZ_CP008914.2_1884	Bacteria 			
NZ_CP013360.1_2543	Bacteria 			
NZ_CP014019.1_1454	Bacteria 			
NZ_CP036171.1_1838	Bacteria 			
NZ_CP024941.1_157	Bacteria 			
NZ_LT629797.1_2597	Bacteria 			
NC_002506.1_349	Bacteria 			
NC_009456.1_848	Bacteria 			
NC_012583.1_325	Bacteria 			
NC_016945.1_340	Bacteria 			
NZ_CM003112.1_298	Bacteria 			
NZ_CP012997.1_800	Bacteria 			
NZ_CP013013.1_801	Bacteria 			
NZ_CP013302.1_378	Bacteria 			
NZ_CP013304.1_353	Bacteria 			
NZ_CP013306.1_373	Bacteria 			
NZ_CP013308.1_349	Bacteria 			
NZ_CP013310.1_492	Bacteria 			
NZ_CP013312.1_700	Bacteria 			
NZ_CP013314.1_377	Bacteria 			
NZ_CP013316.1_183	Bacteria 			
NZ_CP016325.1_350	Bacteria 			
NZ_CP020407.2_733	Bacteria 			
NZ_CP024163.1_337	Bacteria 			
NZ_CP024868.1_337	Bacteria 			
NZ_CP025937.1_337	Bacteria 			
NZ_CP028828.1_346	Bacteria 			
NZ_CP028895.1_339	Bacteria 			
NZ_LT907990.1_340	Bacteria 			
NZ_CP039649.1_775	Bacteria 			
NZ_CP011409.1_3610	Bacteria 			
NC_016616.1_2107	Bacteria 			
WP_077485698.1	Bacteria			
WP_137212887.1	Bacteria			
WP_074847338.1	Bacteria			
MQY68924.1	Archaea			
HEC35923.1	Bacteria			
HEY87801.1	Bacteria			
NC_019683.1_1515	Bacteria 			
NZ_CP023270.1_2033	Bacteria 			
NC_011979.1_3141	Bacteria 			
NZ_AP018288.1_3222	Bacteria 			
NZ_CP023465.1_4578	Bacteria 			
NZ_LT977067.1_108	Bacteria 			
NZ_LT976875.1_118	Bacteria 			
NZ_LT976964.1_268	Bacteria 			
NZ_CP025521.1_508	Bacteria 			
NC_010645.1_579	Bacteria 			
NZ_CP031966.1_659	Bacteria 			
NC_015164.1_1677	Bacteria 			
NZ_CP014578.1_3541	Bacteria 			
NZ_CP033068.1_1021	Bacteria 			
NZ_CP013347.1_1287	Bacteria 			
NZ_CP014870.1_5485	Bacteria 			
NZ_CP026386.1_278	Bacteria 			
NZ_CP022203.1_1627	Bacteria 			
NZ_AP018178.1_6859	Bacteria 			
NZ_CP007513.1_475	Bacteria 			
NC_010718.1_1528	Bacteria 			
NZ_CP029296.1_3746	Bacteria 			
NZ_CP010429.1_4826	Bacteria 			
NZ_CP025624.1_2540	Bacteria 			
NZ_CP032677.1_4745	Bacteria 			
NZ_CM004383.1_922	Bacteria 			
NZ_CP031473.1_1590	Bacteria 			
NZ_CP012487.1_1123	Bacteria 			
NZ_CP026003.1_3041	Bacteria 			
NZ_CP017781.1_3151	Bacteria 			
NZ_LN606600.1_2196	Bacteria 			
NZ_CP022999.1_378	Bacteria 			
NZ_FO082820.1_2189	Bacteria 			
NC_021658.1_9339	Bacteria 			
NZ_CP031466.1_3197	Bacteria 			
NZ_CP021434.1_4464	Bacteria 			
CP006933.1_1568	Archaea 			
LN734822.1_738	Archaea 			
NZ_CP017688.1_1910	Bacteria 			
NZ_CP031966.1_438	Bacteria 			
NZ_CP012602.1_3814	Bacteria 			
NC_009922.1_1957	Bacteria 			
NZ_AP019400.1_2992	Bacteria 			
NZ_CP017603.1_1027	Bacteria 			
NZ_CP020559.1_4195	Bacteria 			
NZ_CP017770.1_2115	Bacteria 			
NC_006347.1_3248	Bacteria 			
NC_011296.1_511	Bacteria 			
NZ_CP018258.1_798	Bacteria 			
NZ_CP007207.1_1319	Bacteria 			
NZ_CP014673.1_2775	Bacteria 			
NZ_CP025197.1_1202	Bacteria 			
NZ_CP025197.1_2997	Bacteria 			
NZ_LN879430.1_731	Bacteria 			
NZ_CP041046.1_2453	Bacteria 			
NZ_CP031013.1_3641	Bacteria 			
NZ_LT976862.1_3235	Bacteria 			
NZ_LT976999.1_3299	Bacteria 			
NZ_LT984803.1_3220	Bacteria 			
NZ_CM003019.1_1544	Bacteria 			
NZ_CP009478.1_2528	Bacteria 			
NZ_CP009485.1_2129	Bacteria 			
NZ_CP004001.1_2832	Bacteria 			
NZ_CP033917.1_2433	Bacteria 			
NZ_AP014839.1_3994	Bacteria 			
NZ_CP015877.1_3033	Bacteria 			
NZ_CP039749.1_3520	Bacteria 			
NZ_CP041013.1_2284	Bacteria 			
NZ_LR590473.1_4652	Bacteria 			
NZ_CP038001.1_2150	Bacteria 			
NC_002947.4_3864	Bacteria 			
NZ_LR134299.1_2152	Bacteria 			
NZ_LT799039.1_2415	Bacteria 			
NZ_CP019856.1_969	Bacteria 			
NZ_CP022665.1_3742	Bacteria 			
NZ_LN847264.1_3673	Bacteria 			
NZ_LT934425.1_2812	Bacteria 			
